"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","23628","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedl2p_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorptrf32gm_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes.sum","Tbyte","1.86"
"0","23628","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedl2p_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorptrf32gm_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes.sum.per_second","Tbyte/s","3.19"
"0","23628","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedl2p_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorptrf32gm_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Tbyte","1.08"
"0","23628","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedl2p_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorptrf32gm_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","Gbyte","782.57"
"0","23628","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedl2p_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorptrf32gm_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","ms","582.63"
"0","23628","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedl2p_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorptrf32gm_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","52.39"
"0","23628","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedl2p_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorptrf32gm_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","96.70"
"1","23628","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedl2p_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorptrf32gm_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes.sum","Tbyte","1.85"
"1","23628","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedl2p_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorptrf32gm_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes.sum.per_second","Tbyte/s","3.19"
"1","23628","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedl2p_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorptrf32gm_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","Tbyte","1.07"
"1","23628","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedl2p_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorptrf32gm_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_write.sum","Gbyte","782.59"
"1","23628","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedl2p_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorptrf32gm_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","ms","579.27"
"1","23628","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedl2p_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorptrf32gm_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","52.82"
"1","23628","python3.13","127.0.0.1","kernel_cutlass_kernel_zippel_generatedl2p_f32Kernel_object_at__tensorptrf32gmemalign16o2594746406401_tensorptrf32gmemalign16o1111_tensorptrf32gmemalign16o259474425610242561_tensorptrf32gm_0","1","7","(128, 1, 1)","(259474, 1, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","96.74"
